,acc,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/gamma,config/params/total_games,config/params/game_x_axis,config/params/game_y_axis,config/params/game_width,config/params/game_height,config/params/cursor_y_axis,config/params/player_start_x,config/params/gate_size,config/params/gate_min_distance,config/params/gate_cushion,config/params/ngates,config/params/plot_score,config/params/target_acc,config/params/PGate,config/params/NGate,config/params/WallHit,config/params/PDir,config/params/NDir,config/params/PRange,config/params/NRange,config/params/display,config/params/speed,logdir
14,0.11499999999999999,1695431329,False,1,7b5f2_00014,2023-09-22_18-08-49,3116.5329778194427,3116.5329778194427,46396,Zacharys-MacBook-Pro.local,127.0.0.1,3116.5329778194427,1,,0.9426124593221433,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00014
15,0.10999999999999999,1695431433,True,1,7b5f2_00015,2023-09-22_18-10-33,3220.480353116989,3220.480353116989,46397,Zacharys-MacBook-Pro.local,127.0.0.1,3220.480353116989,1,,0.1917826477354504,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00015
16,0.08250000000000002,1695431228,True,1,7b5f2_00016,2023-09-22_18-07-08,3015.5018932819366,3015.5018932819366,46398,Zacharys-MacBook-Pro.local,127.0.0.1,3015.5018932819366,1,,0.7022516005153356,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00016
17,0.06999999999999995,1695431422,True,1,7b5f2_00017,2023-09-22_18-10-22,3211.2021601200104,3211.2021601200104,46388,Zacharys-MacBook-Pro.local,127.0.0.1,3211.2021601200104,1,,0.01925407564915349,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00017
18,0.09750000000000003,1695431447,True,1,7b5f2_00018,2023-09-22_18-10-47,3236.0979659557343,3236.0979659557343,46389,Zacharys-MacBook-Pro.local,127.0.0.1,3236.0979659557343,1,,0.4379811937505329,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00018
19,0.10250000000000004,1695431226,True,1,7b5f2_00019,2023-09-22_18-07-06,3014.9429738521576,3014.9429738521576,46390,Zacharys-MacBook-Pro.local,127.0.0.1,3014.9429738521576,1,,0.024303473920149754,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00019
20,0.11750000000000005,1695430610,False,1,7b5f2_00020,2023-09-22_17-56-50,2397.923910856247,2397.923910856247,46391,Zacharys-MacBook-Pro.local,127.0.0.1,2397.923910856247,1,,0.5449130121451042,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00020
21,0.11250000000000004,1695431193,False,1,7b5f2_00021,2023-09-22_18-06-33,2981.5804431438446,2981.5804431438446,46392,Zacharys-MacBook-Pro.local,127.0.0.1,2981.5804431438446,1,,0.2649798801813684,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00021
22,0.11750000000000005,1695431301,False,1,7b5f2_00022,2023-09-22_18-08-21,3088.6390862464905,3088.6390862464905,46393,Zacharys-MacBook-Pro.local,127.0.0.1,3088.6390862464905,1,,0.9753726852613732,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00022
23,0.10499999999999998,1695431319,True,1,7b5f2_00023,2023-09-22_18-08-39,3106.492700815201,3106.492700815201,46395,Zacharys-MacBook-Pro.local,127.0.0.1,3106.492700815201,1,,0.21050325571006645,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00023
