,acc,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/decay_pt,config/params/total_games,config/params/game_x_axis,config/params/game_y_axis,config/params/game_width,config/params/game_height,config/params/cursor_y_axis,config/params/player_start_x,config/params/gate_size,config/params/gate_min_distance,config/params/gate_cushion,config/params/ngates,config/params/plot_score,config/params/target_acc,config/params/PGate,config/params/NGate,config/params/WallHit,config/params/PDir,config/params/NDir,config/params/PRange,config/params/NRange,config/params/display,config/params/speed,logdir
15,0.09250000000000003,1695511425,True,1,f4531_00015,2023-09-23_16-23-45,29323.652266025543,29323.652266025543,70661,Zacharys-MacBook-Pro.local,127.0.0.1,29323.652266025543,1,,5,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00015
16,0.07250000000000001,1695511951,True,1,f4531_00016,2023-09-23_16-32-31,29849.85492682457,29849.85492682457,70662,Zacharys-MacBook-Pro.local,127.0.0.1,29849.85492682457,1,,18,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00016
17,0.10499999999999998,1695510928,False,1,f4531_00017,2023-09-23_16-15-28,28826.66175532341,28826.66175532341,70663,Zacharys-MacBook-Pro.local,127.0.0.1,28826.66175532341,1,,20,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00017
18,0.08999999999999997,1695510980,True,1,f4531_00018,2023-09-23_16-16-20,28878.275038957596,28878.275038957596,70666,Zacharys-MacBook-Pro.local,127.0.0.1,28878.275038957596,1,,19,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00018
19,0.10499999999999998,1695511703,False,1,f4531_00019,2023-09-23_16-28-23,29601.218045949936,29601.218045949936,70668,Zacharys-MacBook-Pro.local,127.0.0.1,29601.218045949936,1,,11,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00019
20,0.12749999999999995,1695511863,False,1,f4531_00020,2023-09-23_16-31-03,29760.82360982895,29760.82360982895,70669,Zacharys-MacBook-Pro.local,127.0.0.1,29760.82360982895,1,,9,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00020
21,0.09250000000000003,1695511632,True,1,f4531_00021,2023-09-23_16-27-12,29529.759742975235,29529.759742975235,70670,Zacharys-MacBook-Pro.local,127.0.0.1,29529.759742975235,1,,1,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00021
22,0.08750000000000002,1695511849,True,1,f4531_00022,2023-09-23_16-30-49,29746.11682510376,29746.11682510376,70671,Zacharys-MacBook-Pro.local,127.0.0.1,29746.11682510376,1,,4,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00022
23,0.09250000000000003,1695511561,True,1,f4531_00023,2023-09-23_16-26-01,29457.652761220932,29457.652761220932,70672,Zacharys-MacBook-Pro.local,127.0.0.1,29457.652761220932,1,,10,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00023
24,0.08999999999999997,1695515476,True,1,f4531_00024,2023-09-23_17-31-16,4548.369852781296,4548.369852781296,70663,Zacharys-MacBook-Pro.local,127.0.0.1,4548.369852781296,1,,13,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00024
